cellLabelInImage,X,Y,cluster,patient_id
,172.0714,20.27178,0,26
,1952.938,200.3782,6,26
,1851.657,218.9765,2,26
,704.8466,238.0,0,26
,1224.439,309.6547,3,26
,1198.608,358.6,0,26
,688.2647,424.4853,0,26
,700.485,434.1827,0,26
,1034.864,440.1495,6,26
,597.3677,445.9097,0,26
,1908.288,494.2627,5,26
,2003.438,553.2264,1,26
,1350.818,565.875,1,26
,1363.247,631.0753,1,26
,687.1338,628.2484,0,26
,751.4394,684.1013,0,26
,437.2952,683.6571,0,26
,742.7982,702.1651,0,26
,935.33,715.3424,0,26
,1065.252,733.0888,0,26
,198.5481,821.8269,0,26
,443.7921,823.9406,0,26
,103.5294,892.0882,0,26
,1160.305,940.1463,1,26
,411.0151,943.7261,0,26
,132.35,952.98,0,26
,1142.07,1020.797,0,26
,1464.5,1040.669,0,26
,143.1395,1089.465,0,26
,1525.207,1109.598,3,26
,1482.62,1110.254,3,26
,422.6022,1128.866,0,26
,387.3744,1151.56,0,26
,76.7037,1152.889,0,26
,88.65789,1157.258,0,26
,1526.787,1172.443,3,26
,416.9342,1199.013,0,26
,408.0053,1206.847,0,26
,1646.477,1289.622,6,26
,1273.55,1303.644,3,26
,110.7189,1342.189,5,26
,1759.958,1349.462,1,26
,1758.5,1371.894,6,26
,1202.019,1502.717,3,26
,1779.315,1550.36,0,26
,1698.672,1667.605,0,26
,1247.571,1679.736,3,26
,1929.269,1807.8,1,26
,630.0282,1993.731,0,26
,1884.786,148.7037,2,26
,1906.38,5.0,5,26
,1993.802,7.451477,5,26
,489.7789,8.149474,0,26
,1835.491,8.769912,5,26
,1568.803,10.78082,5,26
,1933.729,14.40946,5,26
,450.2001,31.5581,0,26
,629.4651,21.74014,0,26
,1997.504,24.38046,5,26
,553.2059,27.64135,0,26
,591.8644,26.03333,0,26
,1884.227,22.57702,5,26
,1963.706,20.20842,5,26
,1979.026,29.47544,5,26
,246.431,35.17241,0,26
,185.2424,44.72475,0,26
,1987.713,46.34005,5,26
,355.9392,59.01728,0,26
,302.919,48.83071,0,26
,389.0202,56.53945,0,26
,2021.161,60.3311,5,26
,215.7477,63.24408,0,26
,582.6812,61.37391,0,26
,2004.016,70.1521,5,26
,617.2891,74.34554,0,26
,518.8389,71.57168,0,26
,2029.55,73.39276,5,26
,825.7018,74.07455,0,26
,339.5492,80.42718,0,26
,433.4884,76.54651,0,26
,1310.705,77.06329,5,26
,654.4556,78.07661,0,26
,1325.328,79.92429,5,26
,1991.523,81.19006,5,26
,2041.183,82.70286,5,26
,1964.186,83.45767,5,26
,225.4,88.71613,0,26
,1884.077,93.91296,5,26
,2022.984,93.56313,5,26
,880.7883,94.03728,0,26
,596.9536,99.02029,0,26
,151.8596,100.7477,0,26
,1314.511,99.68635,5,26
,1866.033,100.7336,2,26
,823.8028,102.0832,0,26
,564.3637,91.8478,0,26
,1993.606,103.6321,1,26
,542.7038,105.3981,0,26
,1825.169,106.6844,5,26
,1198.992,108.6457,5,26
,241.229,110.8075,0,26
,386.4828,111.6494,0,26
,203.8862,107.4853,0,26
,726.9987,114.3526,0,26
,1206.404,117.7116,5,26
,1875.183,116.2006,2,26
,1926.032,117.1055,2,26
,1979.918,112.8854,0,26
,2028.91,122.6287,6,26
,874.5319,119.2452,0,26
,1248.499,122.6278,5,26
,1822.556,128.0314,2,26
,1057.797,131.9715,5,26
,807.0,133.0625,0,26
,137.335,135.7175,0,26
,864.6488,138.0303,0,26
,960.8226,131.4957,0,26
,1033.216,135.7294,5,26
,832.9512,137.3659,0,26
,984.2925,137.4743,0,26
,403.2308,137.6538,0,26
,532.3266,128.6049,0,26
,846.1871,141.3161,0,26
,1753.908,143.0942,5,26
,928.1665,143.5862,0,26
,1011.383,138.8147,0,26
,1203.127,142.0998,5,26
,1953.966,139.4829,2,26
,1909.531,149.9744,2,26
,578.0758,147.2949,0,26
,1992.324,138.0671,0,26
,1250.584,151.208,5,26
,895.2254,148.7682,0,26
,172.379,146.3855,0,26
,417.5556,152.0889,0,26
,836.7601,159.5587,0,26
,724.8965,151.0062,0,26
,755.1341,155.3244,0,26
,464.989,156.5463,0,26
,784.5538,160.3056,0,26
,328.2196,162.2118,0,26
,1063.748,162.1293,0,26
,2037.146,164.6937,6,26
,140.4274,165.5705,0,26
,1024.896,173.0379,0,26
,1874.373,168.7747,2,26
,692.8327,168.9662,0,26
,810.992,169.504,0,26
,996.245,185.1193,0,26
,867.7438,173.7052,0,26
,934.0655,178.8466,0,26
,1889.305,175.7563,2,26
,733.4218,179.7949,0,26
,1041.762,187.3249,0,26
,1983.116,184.5755,0,26
,2020.824,184.7777,0,26
,888.0863,187.741,0,26
,790.896,190.2512,0,26
,1859.475,188.6526,2,26
,1072.17,188.5442,0,26
,1101.88,186.8261,0,26
,1891.435,191.2778,2,26
,850.546,195.404,0,26
,306.1973,201.5019,0,26
,758.625,197.9926,0,26
,813.8674,205.1315,0,26
,174.875,205.7375,0,26
,906.9343,220.4634,6,26
,377.6015,207.6,0,26
,1052.26,207.1703,0,26
,1782.569,208.5216,5,26
,1885.43,207.4609,2,26
,967.01,207.9831,6,26
,452.153,207.6091,0,26
,1836.568,214.241,2,26
,1999.739,218.902,6,26
,182.1087,223.558,0,26
,1146.119,222.5107,2,26
,733.3479,222.675,0,26
,1960.338,223.3348,6,26
,1071.225,224.8874,0,26
,767.4742,225.3908,0,26
,1169.408,231.3804,2,26
,1783.235,225.5269,5,26
,1000.439,226.3207,6,26
,626.5014,227.136,0,26
,1090.706,225.7638,0,26
,287.9386,232.5,0,26
,1046.933,230.8322,0,26
,1112.188,232.4242,0,26
,1186.751,233.6029,2,26
,1214.281,234.253,2,26
,336.6241,237.7139,0,26
,434.4737,236.2018,0,26
,402.4611,239.4466,0,26
,1825.498,239.7628,5,26
,2031.594,239.9189,0,26
,1152.773,253.2345,2,26
,804.95,245.7143,0,26
,1583.496,247.916,5,26
,2004.974,252.5521,0,26
,349.2154,263.9204,0,26
,944.7721,237.3351,6,26
,1032.788,255.4848,6,26
,1972.593,254.5442,0,26
,251.7016,250.8496,0,26
,1106.629,255.0386,0,26
,1227.993,256.6808,2,26
,1074.897,258.6312,6,26
,299.9218,262.6088,0,26
,1016.356,258.6511,6,26
,766.6202,262.7317,0,26
,981.4751,261.7332,6,26
,428.6679,263.3969,0,26
,1171.456,264.551,2,26
,392.2364,266.6074,0,26
,1589.102,272.2833,5,26
,570.7442,274.3996,0,26
,935.2713,275.3659,6,26
,285.728,275.8425,0,26
,721.4356,278.0184,0,26
,1234.5,278.1379,2,26
,873.5529,282.3412,0,26
,1946.103,285.1357,4,26
,1077.567,287.3536,6,26
,2028.64,287.3041,0,26
,526.4896,292.8591,0,26
,1860.105,288.4012,4,26
,929.2573,293.8246,6,26
,1015.523,294.6935,6,26
,453.7339,296.8971,0,26
,1855.051,300.9771,4,26
,1990.229,291.7996,0,26
,703.9783,303.6628,0,26
,725.7652,303.5101,0,26
,1377.737,304.4274,5,26
,493.6138,305.2631,0,26
,430.0955,308.6784,0,26
,977.3506,308.6753,6,26
,387.2805,307.9359,0,26
,835.7667,308.9083,0,26
,1171.719,311.4692,3,26
,919.0725,312.3333,6,26
,343.4384,315.9134,0,26
,1979.739,316.1196,0,26
,2022.164,317.6263,0,26
,762.1695,323.0814,0,26
,421.2235,325.4353,0,26
,745.0789,323.4222,0,26
,696.1914,325.4097,0,26
,478.1691,328.2026,0,26
,782.6589,327.7383,0,26
,823.2773,328.1829,0,26
,1133.2,331.4319,6,26
,841.0945,336.0228,0,26
,1011.436,335.7227,6,26
,446.5806,337.4385,0,26
,1046.621,323.1168,6,26
,1159.295,342.6574,0,26
,2036.775,341.8088,0,26
,577.3056,344.0321,0,26
,1763.66,348.6111,5,26
,1099.208,349.0822,6,26
,776.6997,350.0735,0,26
,1223.096,349.9478,0,26
,500.8805,353.882,0,26
,764.4542,361.3904,0,26
,914.0639,359.9859,0,26
,1275.215,361.4727,0,26
,404.2825,363.0565,0,26
,1068.596,365.5633,6,26
,2025.693,368.3196,0,26
,534.9602,377.187,0,26
,625.0863,364.0319,0,26
,779.0245,368.7343,0,26
,1294.099,367.7042,0,26
,601.7085,371.7675,0,26
,1958.952,370.6298,0,26
,1136.161,370.6505,0,26
,646.4981,375.5472,0,26
,1244.081,377.5342,0,26
,971.384,381.936,6,26
,1192.512,383.5133,0,26
,1223.097,381.9605,0,26
,399.3312,380.9805,0,26
,906.4261,388.5333,0,26
,467.4221,392.4943,0,26
,1024.564,392.7855,6,26
,1410.961,401.521,5,26
,1958.308,390.6426,1,26
,1981.393,395.5276,0,26
,1993.313,395.6395,0,26
,1682.138,396.2607,5,26
,1151.317,398.1262,0,26
,1297.731,397.9547,0,26
,981.6806,400.5947,6,26
,959.4632,400.8462,0,26
,576.1828,401.3029,0,26
,1232.116,402.7816,0,26
,607.1521,401.9513,0,26
,1963.231,408.7212,0,26
,700.5757,406.8612,0,26
,997.7148,410.043,6,26
,1174.179,412.2493,0,26
,2010.563,410.9672,0,26
,843.7423,413.6546,0,26
,465.0227,412.7781,0,26
,1992.716,411.1653,0,26
,2035.948,406.9342,0,26
,497.5244,413.3381,0,26
,1260.442,411.878,0,26
,1977.722,420.8523,0,26
,1938.833,421.3327,1,26
,427.8368,422.3316,0,26
,1013.954,424.5893,6,26
,389.0472,427.0661,0,26
,1101.051,424.5637,6,26
,2024.432,425.3014,0,26
,1133.292,428.2906,0,26
,413.7184,429.6418,0,26
,786.8837,431.6211,0,26
,1563.894,430.7513,5,26
,1252.124,435.5933,0,26
,1282.669,433.4572,0,26
,1998.985,434.5413,0,26
,448.1743,437.613,0,26
,472.0759,439.3038,0,26
,770.1906,441.6494,0,26
,1059.726,448.0613,6,26
,1760.136,447.3551,5,26
,1964.303,448.7282,0,26
,528.6552,454.5439,0,26
,960.951,454.8595,6,26
,1148.594,454.6709,0,26
,455.7095,459.4606,0,26
,1020.38,458.425,6,26
,998.996,458.5341,6,26
,477.258,455.587,0,26
,1254.849,465.3087,0,26
,2039.835,466.4885,0,26
,1210.242,467.0372,0,26
,2008.486,472.6608,1,26
,1290.873,470.3173,0,26
,1113.597,476.3159,0,26
,464.4286,476.6888,0,26
